City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Batangafo,CF,80.37,overcast clouds,7.3008,18.2833,OCHA Office
4,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
7,Victoria,HK,84.38,few clouds,22.2855,114.1577,Mini Central
8,Oranjestad,AW,84.18,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
12,Atuona,PF,76.78,few clouds,-9.8,-139.0333,Villa Enata
35,Delanggu,ID,75.36,overcast clouds,-7.6167,110.6833,Griya Pakis Earth
36,Sinnamary,GF,87.82,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
38,Faanui,PF,78.3,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
39,Pekan,MY,76.39,moderate rain,3.4836,103.3996,Pekan Budget Hotel
40,Vila Velha,BR,84.15,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
46,Capaci,IT,77.94,clear sky,38.1711,13.2393,Hotel Sirenetta
51,Sao Filipe,CV,77.63,broken clouds,14.8961,-24.4956,Hotel Xaguate
53,Ponta Do Sol,PT,78.01,scattered clouds,32.6667,-17.1,Hotel do Campo
55,Buala,SB,79.9,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
58,Caravelas,BR,82.54,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
62,Cabanas,CU,81.27,few clouds,22.9758,-82.9219,Villa Luis Montesino y Anabel
63,Hilo,US,83.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
66,Aba,NG,79.56,overcast clouds,5.1066,7.3667,Mickeys Guest House
69,Hobyo,SO,76.86,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
77,Progreso,MX,84.31,few clouds,21.2833,-89.6667,Playa Linda Hotel
86,Juba,SS,82.36,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
87,Cabedelo,BR,80.1,broken clouds,-6.9811,-34.8339,Pousada Camboinha
94,Kalmunai,LK,83.53,overcast clouds,7.4167,81.8167,VS Villa
95,Puerto Del Rosario,ES,76.75,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
97,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
107,Dong Hoi,VN,78.22,light rain,17.4833,106.6,Nam Long Hotel
108,Labuhan,ID,80.24,overcast clouds,-6.8844,112.2051,DoubleFAG
112,Kardamaina,GR,78.28,clear sky,36.7814,27.1425,HOTEL
127,Rajpura,IN,77.97,clear sky,30.4831,76.595,Royal Residency
128,Doka,SD,80.96,scattered clouds,13.5167,35.7667,منصور عثمان
129,Salvador,SV,79.2,overcast clouds,13.8333,-88.9167,Chico's Ranch
132,Mahibadhoo,MV,81.55,overcast clouds,3.7833,72.9667,Omadhoo Inn
133,Palu,ID,75.72,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
134,Butaritari,KI,82.04,light rain,3.0707,172.7902,Isles Sunset Lodge
136,Vallenar,CL,80.19,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
141,Biak,ID,77.09,overcast clouds,-0.9131,122.8766,Penginapan Kim
143,Vinh,VN,75.61,light rain,18.6667,105.6667,Vuong Hoan 2
147,Thinadhoo,MV,82.54,overcast clouds,0.5333,72.9333,
148,Kanniyakumari,IN,79.72,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
149,Kapaa,US,75.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
150,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
153,San Patricio,US,83.07,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
155,Lorengau,PG,81.82,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
159,Halol,IN,85.24,scattered clouds,22.5,73.4667,"Hotel Valley - Rooms, Banquet, Party Plot"
161,Bereda,ES,77.58,overcast clouds,43.2686,-7.5406,Pazo de Verdes
163,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
165,Takoradi,GH,79.07,broken clouds,4.8845,-1.7554,Raybow International Hotel
169,Kudahuvadhoo,MV,81.64,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
170,Padre Bernardo,BR,87.01,overcast clouds,-15.35,-48.5,
171,Kasane,BW,88.27,clear sky,-17.8167,25.15,The Old House
173,Yambio,SS,75.88,overcast clouds,4.5721,28.3955,Naivasha Hotel
174,Acapulco,MX,81.95,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
175,Milan,IT,76.44,clear sky,45.4643,9.1895,Hotel dei Cavalieri Milano Duomo
183,Namatanai,PG,78.96,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
184,Monrovia,LR,80.37,light rain,6.3005,-10.7969,Sunset Inn
187,Bima,ID,77.56,few clouds,-8.4667,118.7167,Lambitu Hotel
188,Loubomo,CG,80.4,overcast clouds,-4.1997,12.6739,La Dolisienne
189,Loudi,CN,83.88,clear sky,27.7344,111.9944,Till Bright Hotel
190,Nuevitas,CU,85.39,few clouds,21.5453,-77.2644,Hotel Caonaba
194,Surt,LY,78.33,clear sky,31.2089,16.5887,فندق المدينة
197,Trincomalee,LK,81.57,broken clouds,8.5711,81.2335,Welcombe Hotel
198,Ternate,ID,80.22,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
209,Vanimo,PG,77.49,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
213,Hithadhoo,MV,82.17,overcast clouds,-0.6,73.0833,Scoop Guest House
217,Dingle,PH,76.91,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
219,Shenjiamen,CN,78.12,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
220,Bodden Town,KY,87.98,few clouds,19.2833,-81.25,Will T Place
230,Kasangulu,CD,79.5,light rain,-4.5911,15.1708,Hôtel le Relais
233,Devarkonda,IN,77.11,overcast clouds,16.7,78.9333,సంతోష్ టిఫిన్ సెంటర్
234,Ures,MX,80.89,few clouds,29.4333,-110.4,HOTEL SAHUARO HOUSE
238,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
244,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
245,Teyateyaneng,LS,75.09,clear sky,-29.1472,27.7489,Blue Mountain Inn
248,Sao Joao Da Barra,BR,82.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
255,Pangoa,PE,88.63,broken clouds,-12.1167,-73.0,
257,Belmonte,BR,78.15,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
259,Sur,OM,82.8,clear sky,22.5667,59.5289,Sur Plaza Hotel
262,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
264,Hurghada,EG,83.68,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
266,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
267,Cabo San Lucas,MX,88.05,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
268,Ixtapa,MX,78.03,overcast clouds,20.7,-105.2,hotel la terminal
270,Mayumba,GA,78.1,broken clouds,-3.432,10.6554,LIKWALE LODGE
274,Umm Lajj,SA,86.94,clear sky,25.0213,37.2685,Moon light Furnished Units
278,Pandan,PH,79.95,overcast clouds,14.0453,124.1694,Bonifacio Lodge
291,Bawku,GH,86.49,scattered clouds,11.0616,-0.2417,Ultimate Guest House
293,Wiwili,NI,79.99,overcast clouds,13.6268,-85.8254,Hostal Gladys
295,Kavieng,PG,81.39,broken clouds,-2.5744,150.7967,Nusa Island Retreat
297,Tuy Hoa,VN,77.16,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
298,Abomsa,ET,75.6,broken clouds,9.9833,39.9833,
303,Palembang,ID,77.09,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
304,Wajid,SO,87.75,broken clouds,3.8093,43.2471,xamdihotelresturant114
305,Tarabha,IN,78.37,overcast clouds,20.7333,83.65,Saroj Kumbhar Residence
307,Pedernales,DO,86.5,broken clouds,18.0384,-71.744,Hotel Costa Marina
308,Lata,PT,87.93,clear sky,40.1629,-8.3327,Casa Maquia
312,Itarema,BR,87.94,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
317,Soller,ES,80.35,clear sky,39.7662,2.7152,Hotel Marina & Wellness Spa
320,Port Blair,IN,81.61,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
321,Manuk Mangkaw,PH,83.52,moderate rain,4.8,119.85,
