City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Maceio,BR,2022-10-02 08:16:18,-9.6658,-35.7353,67.44,94,20,3.44,few clouds
1,San Javier,ES,2022-10-02 08:17:39,37.8063,-0.8374,73.98,60,0,8.05,clear sky
2,Sao Filipe,CV,2022-10-02 08:17:40,14.8961,-24.4956,77.22,72,100,8.97,overcast clouds
3,Barquisimeto,VE,2022-10-02 08:17:40,10.0739,-69.3228,68.09,96,47,3.94,scattered clouds
4,Cape Town,ZA,2022-10-02 08:17:08,-33.9258,18.4232,75.11,58,0,17.27,clear sky
5,Sao Joao Da Barra,BR,2022-10-02 08:17:40,-21.6403,-41.0511,67.66,85,0,8.97,clear sky
6,Bosaso,SO,2022-10-02 08:17:41,11.2842,49.1816,94.71,41,29,6.93,scattered clouds
7,Punta Arenas,CL,2022-10-02 08:15:06,-53.15,-70.9167,28.51,86,0,6.91,clear sky
8,Kasamwa,TZ,2022-10-02 08:17:41,-2.85,32.4333,82.38,36,100,8.52,overcast clouds
9,Ebreichsdorf,AT,2022-10-02 08:17:42,47.95,16.4,60.67,77,75,13.8,shower rain
10,Clyde River,CA,2022-10-02 08:17:42,70.4692,-68.5914,19.63,93,75,2.3,broken clouds
11,Tiksi,RU,2022-10-02 08:17:42,71.6872,128.8694,23.83,85,100,16.37,overcast clouds
12,Lompoc,US,2022-10-02 08:17:43,34.6391,-120.4579,58.59,92,0,5.75,clear sky
13,Vilaka,LV,2022-10-02 08:17:43,57.1846,27.6722,45.39,91,100,2.51,overcast clouds
14,Port Elizabeth,ZA,2022-10-02 08:17:44,-33.918,25.5701,69.31,76,0,12.66,clear sky
15,Manuk Mangkaw,PH,2022-10-02 08:17:44,4.8,119.85,84.24,66,79,1.52,broken clouds
16,Geraldton,AU,2022-10-02 08:17:41,-28.7667,114.6,72.01,60,17,19.57,few clouds
17,Shimoda,JP,2022-10-02 08:17:44,34.6667,138.95,74.71,63,0,8.93,clear sky
18,Qaanaaq,GL,2022-10-02 08:15:16,77.484,-69.3632,6.44,67,7,8.23,clear sky
19,Kapaa,US,2022-10-02 08:17:45,22.0752,-159.319,76.98,90,0,3.44,moderate rain
20,Tanete,ID,2022-10-02 08:17:45,-3.9443,119.7848,85.55,70,100,2.39,overcast clouds
21,Faanui,PF,2022-10-02 08:17:46,-16.4833,-151.75,78.62,70,72,14.5,broken clouds
22,Vestmannaeyjar,IS,2022-10-02 08:17:46,63.4427,-20.2734,47.93,80,98,26.57,overcast clouds
23,Buraydah,SA,2022-10-02 08:17:46,26.326,43.975,91.85,10,0,7.29,clear sky
24,Asau,RO,2022-10-02 08:17:47,46.4333,26.4,60.28,62,86,13.98,overcast clouds
25,Soller,ES,2022-10-02 08:17:29,39.7662,2.7152,72.91,73,0,4.0,clear sky
26,Ponta Do Sol,PT,2022-10-02 08:17:47,32.6667,-17.1,70.43,72,16,3.85,few clouds
27,Jamestown,US,2022-10-02 08:17:48,42.097,-79.2353,55.02,72,100,12.66,overcast clouds
28,Puerto Ayora,EC,2022-10-02 08:17:48,-0.7393,-90.3518,62.55,100,99,1.01,overcast clouds
29,Cedral,MX,2022-10-02 08:17:49,23.8,-100.7333,57.4,80,100,7.61,overcast clouds
30,Tuatapere,NZ,2022-10-02 08:17:49,-46.1333,167.6833,43.61,90,55,3.36,broken clouds
31,Butaritari,KI,2022-10-02 08:17:49,3.0707,172.7902,81.82,76,100,12.95,overcast clouds
32,Souillac,MU,2022-10-02 08:17:50,-20.5167,57.5167,77.38,50,75,10.36,broken clouds
33,Killybegs,IE,2022-10-02 08:17:50,54.6333,-8.45,53.31,76,85,9.22,overcast clouds
