City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Batangafo,CF,2022-10-02 16:01:59,7.3008,18.2833,80.37,79,93,1.66,overcast clouds
1,Clarence Town,AU,2022-10-02 16:01:59,-32.5833,151.7833,54.86,94,0,2.46,clear sky
2,Verkhoyansk,RU,2022-10-02 16:02:00,67.5447,133.385,19.26,96,100,2.84,overcast clouds
3,Lebu,CL,2022-10-02 16:02:00,-37.6167,-73.65,59.02,69,100,6.06,overcast clouds
4,Bathsheba,BB,2022-10-02 15:57:41,13.2167,-59.5167,88.41,70,40,19.57,scattered clouds
5,Klaksvik,FO,2022-10-02 16:02:01,62.2266,-6.589,52.72,81,10,26.6,clear sky
6,Ushuaia,AR,2022-10-02 15:57:48,-54.8,-68.3,44.26,53,0,4.61,clear sky
7,Victoria,HK,2022-10-02 15:54:28,22.2855,114.1577,84.38,83,18,8.01,few clouds
8,Oranjestad,AW,2022-10-02 16:02:01,12.524,-70.027,84.18,78,52,16.44,broken clouds
9,Karatuzskoye,RU,2022-10-02 16:02:02,53.6072,92.8667,28.54,68,13,2.73,few clouds
10,Punta Arenas,CL,2022-10-02 15:57:41,-53.15,-70.9167,44.71,65,0,9.22,clear sky
11,Tasiilaq,GL,2022-10-02 15:58:55,65.6145,-37.6368,35.51,96,100,36.98,moderate rain
12,Atuona,PF,2022-10-02 15:58:52,-9.8,-139.0333,76.78,72,14,21.16,few clouds
13,Nanortalik,GL,2022-10-02 16:02:02,60.1432,-45.2371,37.99,77,79,10.87,broken clouds
14,Busselton,AU,2022-10-02 15:57:40,-33.65,115.3333,49.62,76,3,13.42,clear sky
15,Kruisfontein,ZA,2022-10-02 16:02:03,-34.0033,24.7314,68.68,75,0,6.04,clear sky
16,Linhares,BR,2022-10-02 16:01:10,-19.3911,-40.0722,91.71,36,24,5.73,few clouds
17,Saint-Philippe,RE,2022-10-02 15:58:54,-21.3585,55.7679,71.19,73,43,11.21,scattered clouds
18,Mahebourg,MU,2022-10-02 16:02:04,-20.4081,57.7,71.26,66,73,13.76,broken clouds
19,Tiksi,RU,2022-10-02 16:02:04,71.6872,128.8694,24.91,87,100,13.71,overcast clouds
20,Mataura,NZ,2022-10-02 15:58:51,-46.1927,168.8643,47.48,98,47,2.48,scattered clouds
21,New Norfolk,AU,2022-10-02 15:57:37,-42.7826,147.0587,48.7,73,100,2.04,overcast clouds
22,Cape Town,ZA,2022-10-02 15:57:39,-33.9258,18.4232,69.1,52,20,20.71,few clouds
23,Bluff,NZ,2022-10-02 15:59:02,-46.6,168.3333,47.8,78,54,21.94,broken clouds
24,Rikitea,PF,2022-10-02 15:59:00,-23.1203,-134.9692,73.63,70,73,8.01,broken clouds
25,Esperance,AU,2022-10-02 15:58:58,-33.8667,121.9,53.44,79,100,15.37,light rain
26,Barrow,US,2022-10-02 16:00:25,71.2906,-156.7887,26.62,80,100,9.22,overcast clouds
27,Chuy,UY,2022-10-02 15:57:41,-33.6971,-53.4616,67.69,49,1,6.15,clear sky
28,Vaini,TO,2022-10-02 15:57:38,-21.2,-175.2,73.56,88,20,6.91,few clouds
29,Port Alfred,ZA,2022-10-02 16:00:33,-33.5906,26.891,69.19,85,0,5.01,clear sky
30,Dikson,RU,2022-10-02 15:58:58,73.5069,80.5464,28.8,84,73,18.61,broken clouds
31,Marienburg,PL,2022-10-02 16:02:07,54.0359,19.0266,53.89,75,79,11.77,broken clouds
32,Margate,GB,2022-10-02 16:02:07,51.3813,1.3862,65.7,65,31,3.0,scattered clouds
33,Sampit,ID,2022-10-02 16:02:07,-2.5333,112.95,74.91,97,99,2.91,overcast clouds
34,Geraldton,AU,2022-10-02 16:02:08,-28.7667,114.6,55.81,67,18,10.36,few clouds
35,Delanggu,ID,2022-10-02 16:02:09,-7.6167,110.6833,75.36,91,93,6.04,overcast clouds
36,Sinnamary,GF,2022-10-02 16:02:09,5.3833,-52.95,87.82,60,25,9.35,scattered clouds
37,Westport,US,2022-10-02 16:02:09,41.1415,-73.3579,60.78,71,100,13.0,overcast clouds
38,Faanui,PF,2022-10-02 16:02:10,-16.4833,-151.75,78.3,72,99,16.44,overcast clouds
39,Pekan,MY,2022-10-02 16:02:11,3.4836,103.3996,76.39,89,100,2.57,moderate rain
40,Vila Velha,BR,2022-10-02 16:01:37,-20.3297,-40.2925,84.15,73,0,14.97,clear sky
41,Kodiak,US,2022-10-02 16:00:43,57.79,-152.4072,45.91,87,100,0.0,overcast clouds
42,Okha,RU,2022-10-02 16:02:12,53.5739,142.9478,48.87,78,100,16.96,overcast clouds
43,Flinders,AU,2022-10-02 16:02:12,-34.5833,150.8552,50.18,88,8,3.0,clear sky
44,Sitka,US,2022-10-02 16:02:13,57.0531,-135.33,46.9,71,99,2.77,overcast clouds
45,Carnarvon,AU,2022-10-02 15:57:39,-24.8667,113.6333,69.4,57,1,16.49,clear sky
46,Capaci,IT,2022-10-02 16:03:13,38.1711,13.2393,77.94,47,0,5.75,clear sky
47,Tuktoyaktuk,CA,2022-10-02 15:58:57,69.4541,-133.0374,26.6,86,100,14.97,overcast clouds
48,Taoudenni,ML,2022-10-02 16:03:14,22.6783,-3.9836,103.89,17,99,10.18,overcast clouds
49,Aberfoyle,AU,2022-10-02 16:03:15,-30.2667,152.0167,40.21,94,98,0.83,overcast clouds
50,Vila Franca Do Campo,PT,2022-10-02 16:03:15,37.7167,-25.4333,73.81,75,60,15.52,broken clouds
51,Sao Filipe,CV,2022-10-02 16:03:16,14.8961,-24.4956,77.63,73,58,9.73,broken clouds
52,Karratha,AU,2022-10-02 16:03:16,-20.7377,116.8463,73.83,59,11,16.69,few clouds
53,Ponta Do Sol,PT,2022-10-02 15:59:03,32.6667,-17.1,78.01,75,30,4.14,scattered clouds
54,Albany,US,2022-10-02 15:55:34,42.6001,-73.9662,55.17,73,66,9.48,broken clouds
55,Buala,SB,2022-10-02 16:03:17,-8.145,159.5921,79.9,82,25,5.68,scattered clouds
56,Bowen,AU,2022-10-02 16:03:17,-20.0167,148.2333,73.44,73,79,6.24,broken clouds
57,Torbay,CA,2022-10-02 15:58:50,47.6666,-52.7314,52.27,57,75,12.66,broken clouds
